Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9736842105263158,0.9953703703703703,0.975609756097561,0.9523809523809523,0.963855421686747,0.9433397594898876
Decision Tree,0.9035087719298246,0.8979828042328042,0.8974358974358975,0.8333333333333334,0.8641975308641975,0.7908306426872351
K-Nearest Neighbors,0.956140350877193,0.9834656084656084,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9058238738943076
Gaussian Naive Bayes,0.9210526315789473,0.9890873015873015,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.8291617197562593
Random Forest,0.9736842105263158,0.9973544973544973,1.0,0.9285714285714286,0.9629629629629629,0.9441549509633318
Support Vector Machine,0.9824561403508771,0.9950396825396826,1.0,0.9523809523809523,0.975609756097561,0.962621902223779
